X,Y,osm_id,osm_type,completeness,#meta +operator,#meta +health_amenity_type,#meta+dispensing,#meta +speciality,#meta+is_in_health_zone,#capacity +staff,#loc+amenity,changeset_id,#access +hours,changeset_timestamp,#meta+emergency,#contact +url,#meta +operator_type,#meta +id,#meta+water_source,changeset_version,addr_street,#meta+electricity,#contact +phone,#meta+insurance,#status+operational_status,#meta+is_in_health_area,addr_postcode,addr_city,#meta+wheelchair,#capacity +beds,changeset_user,#geo+bounds+url,addr_housenumber,#meta+healthcare,#loc +name
,,326028542,way,9,,,,,,,hospital,28559542,,2015/02/02 02:43:04,,,,0e70517ed8634fc0bd26ff6e4b03ab38,,1,,,,,,,,,,,agungdhion,,,,Puskesmas Rejowinangun
102.037525466974,0.83613226725862,3247225314,node,9,,,,,,,doctors,27622471,,2014/12/22 02:59:12,,,,7dd80b47352941a4a81a338de7a96a28,,1,,,,,,,,,,,Iwan Novirion,,,,Dokter Umum
107.297632221772,-6.30443015699743,7429122557,node,9,,,,,,,pharmacy,83869360,,2020/04/21 09:24:58,,,,ca4b6d44d3454e1b834aa7aee164fcfa,,1,,,,,,,,,,,Elisabeth S,,,,Apotek Niaga
,,485646279,way,9,,,,,,,hospital,47588945,,2017/04/09 09:54:49,,,,629cbca98cb74ecbbfee86ae03de36cf,,1,,,,,,,,,,,Fatchur,,,,Puskesmas Pancur
,,328902018,way,9,,,,,,,clinic,28924817,,2015/02/18 05:30:12,,,,fad924ee6f4f489391f6c554be469391,,1,,,,,,,,,,,raniedwianugrah,,,,Postu Gunung kesan
110.443418150285,-7.01170730053815,5481778594,node,18,,,,,,,clinic,57372091,,2018/03/21 04:20:13,,,community,4e9d6a381a614585986e546ec9af9a2c,,2,,,,,,,,Semarang,,,gafuri,HOT_InAWARESurvey_2018,,,Posyandu Sekartanjung
,,157105424,way,15,,,no,,,,pharmacy,43368649,"08:00-14:00,16:00-21:00",2016/11/03 02:31:16,,,,90a3e2baf5a24b3aa396760d0803740e,,3,,,,,,,,,,,Floriany,,,,Apotik Generik
,,467900938,way,12,,,,,,,pharmacy,45712792,,2017/02/01 10:38:14,,,,cd8257be4c3f4ccf93472573d2029b21,,2,Jalan Dharmahusada Indah,,,,,,,,,,Ms Kiara,,,,Klinik Dharmahusada
,,201074498,way,12,,,,,,,clinic,50709129,,2017/07/31 06:23:59,,,government,fcdaec4ed2dc413ebf1a391aa4d74a3a,,2,,,,,,,,,,,yunita sari,,,,Puskesmas Ransiki
106.778454540814,-6.13833067567367,6118072897,node,25,,,,,,,pharmacy,65188999,Mo-Su 09:00-20:00,2018/12/05 08:25:07,,,private,b06f74cf682547478fad2f2dd7172007,,1,,,,,,,,,no,,Adityo,survey,,pharmacy,apotek sumber jaya
107.588952558823,-6.91655342114149,6091307648,node,12,,,,,,,hospital,64881781,,2018/11/26 02:16:38,,,,b8b6d8da29ac4b53ae596ed954d26a62,,1,,,,,,,,,,,Map Nuryanto,,,hospital,Warnet Nur
110.790097856494,-7.56037092429844,2504599259,node,12,,,,,,,hospital,57928799,,2018/04/09 04:51:10,yes,,,19a4b80ed8b3453287eae1d0c23e92c1,,3,,,,,,,,,,,adam maulana,,,,RS Panti Waluyo Solo
,,575283112,way,9,,,,,,,hospital,82697694,,2020/03/27 07:05:37,,,,f61d856def534acf9c99095dd612c770,,2,,,,,,,,,,,Akrimullah,,,,RS Bhayangkara Anton Soedjarwo Pontianak
106.849069225204,-6.37261794514234,5367342294,node,12,,,,,,,dentist,55819813,,2018/01/28 03:24:52,,,,d6552abfde6741f58169c16051b06cff,,1,,,,,,,,,,,ricky bermadi,,,dentist,Irawati Dentist
,,518499874,way,9,,,,,,,doctors,51425016,,2017/08/25 06:35:37,,,,7ae1ae056f26471d97ab75238ebc5eb1,,1,,,,,,,,,,,Aulia Ishmata,,,,BIDAN NUR AWANA
,,451501333,way,9,,,,,,,pharmacy,84037365,,2020/04/24 05:31:49,,,,e50175138f854eec93e0e0192aea1fb2,,2,,,,,,,,,,,Riyadi IRM-ED,,,,Apotek Tengger 3
,,389823611,way,9,,,,,,,clinic,36395028,,2016/01/06 03:10:06,,,,3e55db24e14c4adfaf1757ed1eb82447,,1,,,,,,,,,,,Ezagren,,,,Puskesmas Separi III
,,314510686,way,15,,,yes,,,,pharmacy,89797138,,2020/08/23 03:23:46,,,,6a29f5d5e49747269a471fd03a72236f,,2,,,,,,,,,,,Bayudewo,,,pharmacy,Apotek Sehat Sentosa
,,175011356,way,28,,,,,,,hospital,82509638,,2020/03/23 07:29:53,yes,,private,6de39ad7d3534e6ca657b2eed294ab97,,4,Jalan Soekarno-Hatta,,,,,,,Bandung,,,Zainab Ramadhanis,,644,hospital,Rumah Sakit Al Islam
,,751915057,way,15,,,yes,,,,pharmacy,77885266,,2019/12/03 14:43:40,,,,08d38837837e4b759a5c15320a83747a,,1,,,,,,,,,,,alfianf,,,pharmacy,apotek
106.856575638591,-6.14486445301645,5121434842,node,18,,,,,,,clinic,52542498,,2017/10/01 17:10:50,,,community,093709c3943b4f2ca19e78516ceed369,,2,,,,,,,,DKI Jakarta,,,gafuri,HOT_InAWARESurvey_2017,,,Posyandu Teratai
,,211034435,way,18,,,,,,,,65191884,"Mo-Fr 07:30-20:00; Sa 07:30-13:00",2018/12/05 09:14:39,,,private,bbed5a676a4c45b597a6ef7dccdf7cff,,2,,,,,,,,,,,Adhitya Dido,survey,,laboratory,Laboratorium Klinik Milenium
,,581608499,way,9,,,,,,,clinic,65431934,,2018/12/13 06:57:29,,,,177b3b9f3e9145cebeee13f7e4ba45fd,,2,,,,,,,,,,,SANTIADHIA,,,,Puskesmas Desa Damit
,,482150989,way,18,,,,,,,clinic,50828296,,2017/08/04 07:24:40,,,private,c2ac2d25606f45dcaea2c20987dc6c14,,2,,,,,,,,DKI Jakarta,,,IwanHr,HOT_InAWARESurvey_2017,,,Klinik Mitra Medika
106.870987063812,-6.16133522802855,4918554935,node,18,,,,,,,clinic,50427973,,2017/07/20 09:58:22,,,community,3ca76b2324a748eb864001bdb0300ecf,,2,,,,,,,,DKI Jakarta,,,gafuri,HOT_InAWARESurvey_2017,,,Posyandu Alamanda
,,530178229,way,9,,,,,,,clinic,52643643,,2017/10/05 05:23:44,,,,cddf8e1330cc4513aa3433e6841ff58b,,1,,,,,,,,,,,restudyah,,,,POLINDES
,,451490528,way,15,,,,,,,clinic,70640635,,2019/05/26 20:03:12,,,government,d21b43420885451c82c99b0e02c0ffdc,,7,,,,,,,,,,,Farras,,,clinic,Pos Kesehatan Krembangan
,,651633071,way,12,Pajri,,,,,,hospital,82655176,,2020/03/26 10:35:03,,,,c34256b7aaa546178536a653998c3612,,3,,,,,,,,,,,tyr_asd,,,,Puskesmas Tiku
112.924696266754,0.859400262830235,1441078875,node,12,,,yes,,,,pharmacy,9373265,,2011/09/22 23:29:17,,,,dc9a5f24b17642a983ad86d1c64dbf90,,1,,,,,,,,,,,Lucky Cidomo,,,,Apotik Husada
106.845231487017,-6.13822531515078,6117483448,node,21,,,,,,,pharmacy,65181661,,2018/12/05 03:55:45,,,private,e3d7aa848edf434c86363b0f0f7713f7,,1,,,,,,,,,yes,,Adhitya Dido,survey,,pharmacy,Apotek Cahaya Sehat
,,598432649,way,9,,,,,,,pharmacy,84030955,,2020/04/24 03:09:14,,,,dc6fb16978a8469286a4e2f174c052c2,,2,,,,,,,,,,,Riyadi IRM-ED,,,,Masamba 2 Farma
,,783781653,way,18,,,,,,,hospital,82654587,,2020/03/26 10:23:59,,,private,25c09b39752e4b298c7310354842285b,,3,,,,,,,,Tangerang,,,Riyadi Wibowo,,,hospital,Rumah Sakit Medika Lestari
